小区名称,销售状态,位置,房屋类型,更新时间,售价/均价,参考总价
瑞浩珺公馆(商住),售罄,[拱墅-桥西]杭行路与花园岗街交叉口,一居(1)，二居(3)，三居(2)，四居(1),2017.10.12,"均价20,000元/m²",总价待定
银泰城悦轩,售罄,[拱墅]拱墅丰潭路380号,一居(1),2018.01.26,"均价18,000元/m²",总价待定
阳光郡,售罄,[拱墅-申花]莫干山路与长青路（广业街）...,四居(4)，五居及以上(2),2018.01.24,"均价29,000元/m²",406万元
世茂钱塘天誉,待售,[江干]江干区机场路与德胜东路交叉口,三居(1)，四居(1),2018.02.23,售价待定,总价待定
钱塘航空大厦(商住),在售,[江干]钱江新城CBD森林路与市民街交叉口,二居(2)，三居(1),2018.02.23,"均价30,000元/m²",434万元
杭州来福士广场(商住),在售,[江干-钱江新城]新业路和民心路交叉口,,2018.03.16,"均价50,000元/m²","1,500-2,400万元"
大家武林府,售罄,[下城-市中心]朝晖路与中河北路交叉口西...,二居(1)，三居(2)，四居(3),,"均价52,000元/m²",总价待定
远洋招商上塘宸章,售罄,[拱墅-上塘]储鑫路和科祥路交叉口,三居(2)，四居(2),2017.12.21,"均价28,000元/m²",272万元
广宇锦绣桃源,售罄,[拱墅-半山]沈半路桃源街与翠锦路交汇处,二居(2)，三居(7),,售价待定,总价待定
滨江锦绣之城,售罄,[拱墅-申花]莫干山路与隐秀路交叉口,三居(7)，四居(18)，五居及以上(1),2017.08.29,"均价48,000元/m²",总价待定
融信蓝孔雀,售罄,[拱墅-申花]石祥路与莫干山路交叉口,二居(1)，三居(4),,"均价26,000元/m²",总价待定
绿城蘭园(商住),售罄,[下城-市中心]环城北路57号、环城东路353号,不限(6)，二居(3)，三居(4)，四居(2),,"均价33,000元/m²",总价待定
裕丰青鸟香石公寓(商住),售罄,[下城-市中心]白石路202号（颜三路与...,三居(3)，四居(1),,售价待定,总价待定
领骏世界(别墅),售罄,[下城-市中心]潮王路(浙江工业大学东侧...,一居(5)，二居(5),,总价待定,
领骏世界(商住),售罄,[下城-市中心]潮王路(浙江工业大学东侧...,一居(5)，二居(5),,售价待定,总价待定
万泰新语,售罄,[下城-华丰]华中路与康宁路交岔口,二居(5)，三居(4),,"均价13,000元/m²",总价待定
万科新都会1958,售罄,[下城-市中心]胜景路与杭氧街（城市之星...,三居(1)，四居(2),2017.11.21,"均价45,000元/m²",总价待定
润和亿城嘉园,售罄,[下城-华丰]华丰路与华中路交叉口,,,"均价13,440元/m²",总价待定
滨江万家星城,售罄,[下城-华丰]东新路与石祥路交汇处（公交...,二居(3)，三居(4)，四居(2),,"均价24,000元/m²",总价待定
龙元东新府,售罄,[下城-市中心]沈家路52号（东新园小区北门）,二居(4)，三居(8)，四居(2),,售价待定,总价待定
中粮晓悦公馆(商住),售罄,[下城-市中心]西文街和东新路交叉口以西200米,一居(4)，二居(2),,"均价10,358元/m²",总价待定
元都新苑(别墅),售罄,[下城-华丰]杭玻路(杭玻路以北，华东路...,一居(2)，二居(4)，三居(5),,总价待定,
