小区名称,销售状态,位置,房屋类型,更新时间,售价/均价,参考总价
桃坞巷(别墅),在售,[姑苏]姑苏西大营门57号（平四路首末站旁）,不限(3)，三居(1)，四居(1),2018.01.04,"1,300-3,500万元/套",
庆园(别墅),在售,[姑苏]新市路298号（田家炳实验中学对面）,不限(1),2017.04.05,"1,393万元/套",
桃坞郡府(别墅),在售,[姑苏]人民路680号（原铁道师范学院内）,不限(1),2018.01.04,"1,500-4,000万元/套",
拙政别墅(别墅),在售,[姑苏]姑苏百家巷99号（拙政园旁）,不限(1)，五居及以上(1),2017.04.07,"3,015-4,397万元/套",
隆胜兰郡,售罄,[姑苏]虎泉路西新城路北(新庄立交北约500米),三居(4)，四居(2),2018.01.18,售价待定,总价待定
苏州世茂运河城,售罄,姑苏 - 宝带西路1199号（宝带西路与友新路交界处）,二居(4)，三居(3),2018.01.04,售价待定,311万元
花样年禧悦(商办),在售,新区 - 狮山路与滨河路交汇处（淮海街东国新大酒店南）,开间(2),2017.10.25,"均价22,500元/m²",115-131万元
当代万国墅ΜΟΜΛ(别墅),在售,[相城]澄阳路与泰元路交汇处,四居(3)，五居及以上(3),2018.01.22,336-603万元/套,
姑苏铭著,在售,[相城]润元路人民路东500米,三居(1),2017.12.21,"均价32,000元/m²",368万元
积水住宅姑苏裕沁庭东区,在售,[相城]元和街道文灵路778号,三居(3),2018.03.12,"均价27,000元/m²",378万元
姑苏铭著(别墅),在售,[相城]润元路人民路东500米,二居(1)，三居(1)，五居及以上(1),2018.03.10,378-928万元/套,
积水住宅姑苏裕沁庭东区(别墅),在售,[相城]元和街道文灵路778号,四居(1),2018.02.28,"1,080万元/套",
红鼎湾花园,待售,相城 - 澄云路6号（春申湖东路与澄云路交界处北）,一居(2)，二居(3)，三居(3),2017.06.28,售价待定,总价待定
星汇生活广场,在售,园区 - 西沈浒路与和众街交汇处（宋庆龄幼儿园东侧）,三居(1)，四居(1),2017.12.19,"均价38,000元/m²",403-517万元
绿地中心1号公馆(商办),在售,吴江 - 东太湖大道10000号（苏州湾阅湖台东300米）,开间(2),2018.03.14,"均价11,000元/m²",55-77万元
中海胥江府,售罄,[姑苏]桐泾南路西,二居(2)，三居(6)，四居(4),,"均价19,230元/m²",总价待定
兴贤商业广场(商办),在售,[新区]新区兴贤路与文昌路交界处（大润发...,,2018.03.10,"均价10,000元/m²",125-135万元
保利独墅西岸(别墅),在售,吴中 - 经济开发区墅岛路南、东方大道东侧（独墅湖西岸）,不限(3),2017.04.18,720-780万元/套,
钓鱼台别墅赏湖阁,待售,相城 - 钓鱼台路1号（盛泽湖北、环湖西路东，盛泽湖度假区）,二居(1)，三居(3)，四居(1),2018.01.10,售价待定,总价待定
星公元名邸,在售,园区 - 中新大道东与钟南街交汇处（方洲小学旁）,四居(2)，五居及以上(1),2017.12.28,"均价41,000元/m²",517-586万元
东湖华庭,在售,吴江 - 吴江西二环路3188号（吴江纺织科技中心西500米处）,二居(2)，三居(12)，四居(2),2018.02.24,"均价9,000元/m²",113-126万元
新创玉山广场(商办),在售,新区 - 玉山路40、55号（淮海街与玉山路交汇处）,二居(1),2018.03.10,"均价20,000元/m²",125-135万元
建发独墅湾(别墅),在售,吴中 - 吴中独墅湖生态公园南（东方大道与赏湖路交汇处）,三居(2)，四居(1)，五居及以上(2),2018.03.15,730万元/套,
恒大珺睿庭,待售,[相城]漕湖大道与苏虞张路交叉口向西500米,,2017.09.22,售价待定,总价待定
国展和昌府,待售,[相城]翡翠路与珍珠湖路交汇处,,2018.02.23,售价待定,总价待定
锦绣花城(别墅),待售,[相城]春华路南、方桥路东,三居(3)，四居(1),2017.08.15,总价待定,
国展和昌府(别墅),待售,[相城]翡翠路与珍珠湖路交汇处,,2018.02.23,总价待定,
合景峰汇国际(商办),在售,[相城]苏州市相城区人民路与阳澄湖西路路口,,2017.11.01,"均价15,500元/m²",总价待定
卓兴澜庭(商办),在售,[相城-高铁新城]相城高铁新城青漪路1号 ,,2018.01.17,售价待定,总价待定
铂悦犀湖,在售,[园区]工业园区万寿街168号,四居(1)，五居及以上(1),2017.11.23,"均价35,000元/m²",525-648万元
半月湾(商办),在售,[园区]独墅湖东月亮湾路6号,二居(1)，四居(1),2017.04.05,"均价28,000元/m²",899万元
铂悦犀湖(别墅),在售,[园区]工业园区万寿街168号,五居及以上(1),2017.11.23,"1,000万元/套",
世茂铜雀台(别墅),在售,[园区-湖东]石莲街东、东延路北,五居及以上(7),2017.12.25,"1,000-2,500万元/套",
绿地林肯公馆,待售,吴江 - 东方大街2号（东方南路和目澜路交汇路口）,二居(1)，三居(5)，四居(3),2018.02.02,"均价8,500元/m²",113-115万元
绿宝生活街,在售,[新区]长江路436号(长江路与邓尉路交叉口处),开间(4),2018.02.07,"均价13,000元/m²",130-200万元
虹锦湾,在售,[新区]松花江路933号（浒光运河西）,三居(3),2017.11.03,"均价17,000元/m²",163-226万元
苏高新熙庭,在售,新区 - 宝带西路和科锐路交汇处（苏州技师学院对面）,二居(2)，三居(1),2018.01.24,"均价15,000元/m²",215万元
国瑞熙墅(别墅),在售,[吴中-木渎]竹园路与中环交汇处,五居及以上(2),2017.12.22,"916-1,277万元/套",
太湖黄金水岸(别墅),在售,[吴中]环太湖大道北侧黄金水岸,五居及以上(3),2017.06.15,"2,132-12,000万元/套",
中海先锋时代,待售,[吴中]吴中先锋路与苏蠡路交汇处,,2017.12.29,售价待定,总价待定
涵月楼花园(别墅),在售,[吴中]东山镇雨花路18号,不限(6),2017.04.07,总价待定,
中国工艺文化城(别墅),待售,吴中 - 吴中光福镇福东路99号（塔山路与230省道交汇处）,三居(2)，五居及以上(1),2017.12.21,总价待定,
新湖明珠城,在售,吴江 - 江陵西路1888号（仲英大道与江陵西路交汇处）,三居(5)，四居(5),2018.02.24,"均价19,000元/m²",155-367万元
岚山别墅(别墅),在售,[吴中-木渎]灵岩山核心别墅区230省道288号,三居(3)，四居(2)，五居及以上(8),2017.04.27,总价待定,
正荣国领(商办),在售,[吴中]独墅湖生态公园北、东方大道东,,2017.12.20,"均价12,000元/m²",总价待定
中南雅苑,待售,吴中 - 吴中宝带东路与月浜路交汇会（丽丰购物中心对面）,四居(3),2017.12.20,售价待定,总价待定
招商雍雅苑,在售,[吴江-城南]吴江长安路与芦荡路交叉口,三居(4)，四居(1),2018.02.05,"均价16,500元/m²",158-235万元
吴越锦源,在售,吴江 - 苏州市吴江区松陵大道与体育路交汇处,四居(3),2017.09.12,"均价25,000元/m²",320-400万元
太湖御玲珑(别墅),在售,[吴中]吴中区孙武路1029号,四居(1),2017.09.07,总价待定,
