小区名称,销售状态,位置,房屋类型,更新时间,售价/均价,参考总价
信和御龙山,在售,成华 - 蜀都大道延线迎晖路与沙河交界处（塔子山公园对面）,一居(1)，二居(9)，三居(4)，四居(2)，五居及以上(3),2018.01.26,"均价15,000元/m²",123-528万元
中国铁建北湖国际城,待售,[成华]东三环路一段（北湖公园旁）,三居(8)，四居(1),2018.01.12,"均价12,000元/m²",126-151万元
明信鹭湾(公寓),售罄,[成华]成华多宝寺南街4号（五桂桥车站附近）,一居(6),2018.03.07,"均价13,800元/m²",54万元
阳城心灵家园,售罄,[青羊]光华大道一段（树德中学对面）,二居(6)，三居(5),,"均价9,842元/m²",总价待定
蓝光COCO金沙3期,售罄,[青羊]金沙IT大道旁,二居(1)，三居(3),,"均价9,500元/m²",总价待定
荣富西城尚锦,售罄,青羊 - 光华大道一段光华东三路树德中学斜对面（大公园内）,二居(1)，三居(2),2017.03.13,"均价9,871元/m²",总价待定
中铁西城新天地(商铺),售罄,[青羊]光华大道一段光华东三路树德中学斜...,,2018.02.28,售价待定,总价待定
保利贝森公馆,售罄,[青羊]青羊大道旁贝森路（中国电信四川省...,二居(1)，三居(1),,"均价16,110元/m²",总价待定
尚房国际公馆,售罄,[青羊]成都市青羊区武青北路21号,一居(1)，二居(6)，三居(2),,"均价10,087元/m²",总价待定
凯德风尚,售罄,[青羊]成飞大道南段199号,一居(1)，二居(8)，三居(1),,"均价11,627元/m²",总价待定
SHINE星立方商铺(商铺),售罄,[青羊]光华南三路89号,,2017.07.04,售价待定,总价待定
成都佳兆业广场,售罄,青羊 - 马厂社区一、二组(光华大道一段西非遗博览园旁),二居(2)，三居(6),2017.11.22,"均价11,000元/m²",总价待定
锦城华府,售罄,[青羊]西城角巷,二居(3),,"均价14,357元/m²",总价待定
保利香槟光华,售罄,[青羊]青羊区光华大道一段（树德中学旁）,三居(1)，四居(2),,"均价10,207元/m²",总价待定
水映长岛浣谷(别墅),售罄,[青羊]青羊东坡路999号,,,总价待定,
SHINE星立方,售罄,[青羊]南三路89号,二居(3),,"均价7,800元/m²",总价待定
光华揽胜,售罄,[青羊]琼楼路283号,,,"均价12,861元/m²",总价待定
水映长岛浣谷,售罄,[青羊]青羊东坡路999号,,,售价待定,总价待定
元益花园,售罄,[青羊]西三环成温大道与武青路交汇处,三居(3),,"均价8,000元/m²",总价待定
华润LaVie峰锦(写字楼),售罄,[青羊]青羊通锦桥路与同心路交汇处（新城...,,,售价待定,总价待定
光华中心(写字楼),售罄,[青羊]青羊西三环光华大道一段（树德中学...,,2017.05.31,售价待定,总价待定
优品道曦岸(商铺),售罄,[青羊]青羊青羊大道,,,售价待定,总价待定
荣盛花语城,售罄,[青羊]西三环光华大道一段（树德中学对面）,二居(1)，三居(4),,"均价9,554元/m²",83万元
