小区名称,销售状态,位置,房屋类型,更新时间,售价/均价,参考总价
万科翡翠公园,待售,[浦东-张江]浦东中科路百业路路口,二居(1)，三居(1)，四居(1),2018.02.28,售价待定,"64,000元/m²"
世茂云图,待售,[浦东-周康]浦东康涵路58弄,三居(4)，四居(1),2018.02.27,售价待定,总价待定
万科金域澜湾,待售,[浦东-临港新城]浦东雪绒花路301弄,二居(1)，三居(3),2018.03.14,售价待定,总价待定
东方颐城,待售,[浦东-临港新城]浦东区书院镇丽正路99弄,二居(1)，三居(1),2018.02.28,"均价23,000元/m²",191-205万元
盛世荟庭,待售,[浦东-惠南]浦东新区惠南镇拱北路278弄,二居(1)，三居(3),2018.02.28,售价待定,"31,000元/m²"
绿洲康城亲水湾雅颂,待售,[浦东-周康]浦东区康桥路1388弄,一居(2)，二居(5),2018.03.07,售价待定,总价待定
天健萃园,在售,[浦东-临港新城]详凯路2013弄（近严木桥路）,二居(1)，三居(4)，四居(2),2018.02.24,"均价25,000元/m²",255-300万元
张江三湘海尚,待售,[浦东-张江]浦东绿晓路58弄,二居(3)，三居(5),2018.02.28,售价待定,总价待定
浦发罗兰翡丽,在售,[浦东-唐镇]浦东唐龙路华东路路口,二居(2)，三居(1),2018.02.28,"均价65,000元/m²",436-865万元
金融家,待售,[浦东-唐镇]浦东上丰路1501号（华东路口）,二居(3)，三居(4)，四居(1),2018.02.28,售价待定,总价待定
中金海棠湾,在售,[浦东-航头]浦东周东南路599弄（近周祝公路）,二居(1)，三居(1)，四居(1),2018.02.28,"均价46,000元/m²",560万元起
颐景御府,在售,[浦东-周康]繁荣路161号（繁荣路周星...,三居(2),2018.02.25,"最低53,000元/m²起",684-812万元
金隅大成郡,在售,[嘉定-嘉定新城]嘉定区胜竹路永新路路口,二居(2)，三居(4)，四居(2),2018.02.28,"最低29,000元/m²起",247-443万元
龙湖天璞,待售,[嘉定-江桥]嘉定江桥镇海波路、嘉涛路路口,二居(1)，三居(2),2018.03.13,售价待定,总价待定
嘉宝梦之缘景庭,在售,[嘉定-嘉定新城]嘉定云屏路1051号（...,二居(2)，三居(6),2018.03.06,"均价46,000元/m²",354-639万元
盘古园府,在售,[嘉定-嘉定新城]崇信路77弄,三居(2),2018.03.14,"均价39,000元/m²",351-410万元
安亭新镇,待售,[嘉定-安亭汽车城]嘉定安亭镇塔山路455弄,二居(1)，三居(3),2018.03.15,售价待定,"30,200元/m²"
