小区名称,销售状态,位置,房屋类型,更新时间,售价/均价,参考总价
隆鑫盛世普天,待售,九龙坡 - 二郎科技新城科城路65号（科城路与凤西路交汇处）,三居(8)，四居(1)，五居及以上(1),2017.08.01,售价待定,总价待定
协信阿卡迪亚MINI公馆(别墅),售罄,渝中 - 渝中大坪高九路虎头岩黄荆社13号(六店子小学旁),二居(6)，三居(7),,总价待定,
龙湖紫云台(别墅),在售,"[北碚-蔡家]云泰路,近缙仁路",不限(3),2017.08.22,总价待定,
劲扬缙云印象(别墅),在售,[北碚-城南新区]缙云大道与云开路交汇处,不限(4),2017.07.26,总价待定,
上城中央,待售,[北碚-蔡家]蔡家岗镇蔡通路12号,一居(1)，二居(7),2017.07.04,售价待定,总价待定
光亮天润城,待售,北碚 - 龙凤新区三元村（龙凤溪轻轨站旁）,一居(1)，二居(4)，三居(2),2017.08.14,售价待定,总价待定
首创城,待售,[沙坪坝-双碑]奋发路,一居(2)，二居(6)，三居(10)，四居(3),2017.08.01,售价待定,总价待定
华宇龙湾,在售,[巴南-巴滨路]巴滨路68号,三居(3)，四居(1)，五居及以上(2),2018.03.07,"均价11,000元/m²",167万元
北京城建云熙台(别墅),在售,"[九龙坡-华岩新城]民德路,近民安路",不限(4)，三居(1),2017.07.31,总价待定,
双山世家,待售,九龙坡 - 华成路8号（双山林畔高尔夫旁）,二居(6)，三居(1),2017.07.28,售价待定,总价待定
上城奥邻(别墅),售罄,[渝中-大坪]袁家岗奥体中心旁（奥韵路口处）,一居(3)，二居(4)，三居(2),,总价待定,
万科锦尚,售罄,[渝中-大坪]大坪商圈虎头岩转盘,二居(3)，三居(1),,"均价9,800元/m²",总价待定
康德国际,售罄,[渝中-大坪]单巷子88号,二居(21)，三居(7),,"均价10,000元/m²",总价待定
重庆公馆(公寓),售罄,[渝中-上清寺]嘉滨路208号(大溪沟轻轨车站旁),一居(2)，二居(3)，三居(1),,售价待定,总价待定
江屿朗廷,售罄,渝中 - 菜袁路168号（红楼宾馆往肖家湾方向前行50米支路口进入）,一居(1)，二居(17)，三居(4)，四居(4)，五居及以上(1),2016.11.10,"均价8,200元/m²",总价待定
重庆龙湖椿山(别墅),待售,[北碚-蔡家]曹家湾轻轨站,,2017.08.18,总价待定,
隆鑫爱琴海,待售,[北碚-蔡家]同华路78号,一居(9)，二居(14)，三居(6),2017.08.11,售价待定,总价待定
保利茵梦湖(别墅),在售,[北碚-城南新区]冯时行路与安礼路交汇处,不限(5),2017.08.09,总价待定,
渝能嘉湾壹号,在售,[北碚-蔡家]蔡家岗镇文贤路2号,不限(3)，一居(1)，三居(5)，四居(1),2017.08.07,售价待定,总价待定
正源福源,待售,[北碚-蔡家]蔡扬路355号,一居(2)，三居(3),2017.07.17,售价待定,总价待定
恒大翡翠湾(别墅),在售,[北碚-蔡家]嘉运大道1号,三居(7)，四居(2),2017.08.04,总价待定,
融创紫泉枫丹(别墅),在售,北碚 - 缙云大道113号（大小健身梯中间）,四居(2)，五居及以上(2),2017.08.07,总价待定,
佳兆业广场,待售,[巴南-龙洲湾]龙洲大道,一居(5)，二居(5),2018.03.07,售价待定,39万元
清能小南海花园,待售,[巴南-龙洲湾]巴滨路与龙海大道交汇处东200米,二居(2)，三居(4),2018.03.07,售价待定,65-141万元
珠江城(别墅),在售,"[巴南-巴滨路]巴滨路,近立崧路",不限(2)，一居(2)，二居(6)，三居(2),2018.02.22,总价待定,
中昂锦绣,在售,[巴南-鱼洞]锦成路66号,一居(4)，二居(3),2018.03.06,"均价6,800元/m²",76万元
协信天骄星城,在售,[巴南]重庆市巴南区李家沱正街230号,二居(1),2018.03.13,"均价12,000元/m²",95万元
巴南万达广场,在售,[巴南-龙洲湾]渝南大道309号,一居(6)，二居(7)，三居(1),2017.08.22,售价待定,总价待定
宗申金蓝湾,待售,[巴南-巴滨路]巴滨路888号,二居(8)，三居(2)，四居(1),2017.07.25,售价待定,总价待定
曦圆柳镇,待售,"[巴南-李家沱]红光大道,近渝南分流道",二居(1)，三居(2),2017.08.22,售价待定,总价待定
花溪半岛(公寓),待售,"[巴南-李家沱]红光大道,近王家坝路",一居(2)，二居(7)，三居(4),2017.07.26,售价待定,总价待定
翡翠御园(别墅),在售,[南岸-黄桷桠]南山街道南山路33号,不限(4),2017.07.27,总价待定,
华润二十四城(公寓),在售,[九龙坡-谢家湾]谢家湾正街47号（万象城旁）,不限(3)，二居(3)，三居(7)，四居(7)，五居及以上(4),2017.07.24,售价待定,总价待定
保利爱尚里,待售,九龙坡 - 石坪桥正街119号（骏逸新视界对面）,二居(11)，三居(2)，四居(1),2017.08.15,售价待定,总价待定
名流公馆,售罄,[渝中-上清寺]中山四路市委市府旁,一居(5)，二居(11)，三居(8)，四居(4),,"均价10,373元/m²",总价待定
万科中心(公寓),售罄,[渝中-大坪]渝州路,不限(3)，一居(1)，二居(1),,售价待定,总价待定
丽水菁苑(别墅),售罄,渝中 - 渝中半岛九滨路工农四村58号（滨江公园旁）,二居(1)，三居(1)，四居(1),,总价待定,
金科岭上(别墅),在售,[北碚]国博中心北悦复大道,不限(1)，四居(1),2017.08.15,总价待定,
金科金辉美院(别墅),待售,[北碚-蔡家]嘉悦大桥北桥头,五居及以上(2),2017.07.05,总价待定,
