小区名称,销售状态,位置,房屋类型,更新时间,售价/均价,参考总价
领秀慧谷,在售,[昌平-回龙观]北五环外回龙观，京藏高速...,二居(2)，三居(2),2018.03.15,"均价58,500元/m²",527-819万元
紫金新干线,待售,[昌平-回龙观]昌平回南路与回龙观东大街...,二居(3)，三居(1),2018.03.15,售价待定,总价待定
北京怡园,待售,[昌平-昌平主城区]昌平水库路16号院,二居(1)，三居(2),2018.03.15,售价待定,总价待定
首开国风美唐,待售,[昌平-回龙观]昌平回龙观东8号线回龙观...,二居(1)，三居(2),2018.03.15,"均价59,000元/m²",总价待定
京投发展公园悦府,在售,[昌平-回龙观]昌平区北五环外，紧邻8号...,一居(1)，二居(6)，三居(1),2018.03.15,"均价58,500元/m²",509-667万元
花雨汀,在售,[昌平-昌平主城区]昌平区城南街道凉水河...,二居(4)，三居(7),2018.03.15,"均价46,000元/m²",451-626万元
北京风景,在售,[昌平-昌平主城区]昌平京藏高速30（昌...,二居(2)，三居(5)，四居(1),2018.03.15,"均价48,000元/m²",586-720万元
凯德麓语,在售,[昌平]昌平区京承高速G11出口向西怀昌路北侧,五居及以上(5),2018.01.31,"1,700万元/套起",
香江别墅,待售,[昌平-海淀北部新区]昌平马池口镇百葛路366号,四居(6),2018.01.31,总价待定,
国瑞熙墅,在售,[昌平-奥北]北七家镇定泗路与七北路交叉...,开间(3),2018.01.31,"1,350万元/套起",
御汤山,在售,[昌平-小汤山]昌平顺沙路与安四路交汇处...,三居(1)，五居及以上(2),2018.01.31,"2,099万元/套起",
北科建泰禾·丽春湖院子,在售,[昌平-沙河]西北五环外沙河地铁站向南8...,四居(1)，五居及以上(7),2018.01.31,"2,500万元/套起",
丽都壹号,待售,[朝阳-望京]朝阳将台路与驼房营路交叉口,一居(2)，二居(4)，三居(1),2018.03.15,售价待定,总价待定
泰禾·金尊府,待售,[朝阳]东四环中路58号,一居(3)，二居(2)，三居(2),2018.02.26,售价待定,总价待定
江南府,在售,[朝阳-小红门]朝阳红坊路6号,二居(3)，三居(1),2018.03.15,"最低72,000元/m²起",590-785万元
首创天禧,在售,[朝阳-国贸]朝阳区东三环京广桥东北角(...,四居(1),2018.03.15,"均价180,000元/m²","7,164万元"
江南山水,待售,[朝阳-小红门]朝阳红坊路6号,一居(1)，三居(1)，四居(1),2018.03.15,"均价60,000元/m²",总价待定
天润福熙大道,在售,[朝阳-亚奥]朝阳区北五环红军营东路轻轨...,一居(1)，二居(1)，三居(4)，四居(1),2018.03.15,"均价105,000元/m²","15,000万元起"
泰禾北京院子,在售,[朝阳-孙河]朝阳中央别墅区孙河板块京密...,三居(1)，四居(1)，五居及以上(1),2018.03.15,"19,800万元/套起",
梵悦108,在售,[朝阳-国贸]国贸桥东南角建国路乙108...,一居(3)，二居(4),2018.03.15,"均价150,000元/m²","2,229-4,100万元"
北京奥林匹克花园,待售,[朝阳-东坝]朝阳姚家园路与东坝中路交叉...,三居(2)，四居(2),2018.02.07,售价待定,总价待定
泛海国际,待售,[朝阳-朝阳公园]朝阳朝阳公园桥东北角,四居(2),2018.01.26,"均价140,000元/m²","5,124-6,440万元"
鸿坤花语墅,待售,[朝阳-国贸]朝阳西大望路北京工业大学西...,二居(1)，三居(1)，四居(1),2018.01.26,总价待定,
亚运新新家园,待售,[朝阳-亚奥]朝阳亚运村辛店路一号,五居及以上(1),2018.01.26,总价待定,
八斗,在售,[朝阳-亚奥]朝阳大屯路222号院,二居(2)，三居(4)，四居(1),2018.01.26,"均价120,000元/m²","1,380-2,148万元"
利锦府,在售,[朝阳-东坝]朝阳东坝中街与东坝中路交汇处,二居(3)，三居(3)，四居(2),2018.01.22,"均价85,000元/m²","2,465-2,584万元"
江南山水（别墅）,在售,[朝阳-小红门]朝阳红坊路6号,四居(2),2018.02.01,"2,670万元/套",
泰禾·金府大院,待售,[丰台]北京市丰台区南四环公益西桥2.5公里,三居(3),2018.03.15,"均价79,800元/m²","1,160万元"
中粮天恒·天悦壹号,待售,[丰台]南四环地铁新宫站南500米,三居(1)，四居(2),2018.03.15,"均价85,000元/m²",总价待定
首开华润城,在售,[丰台-丰台科技园]丰台南四环花乡桥南1...,三居(2),2018.03.15,"均价90,000元/m²","1,224-1,269万元"
中国玺,在售,[丰台-丽泽]西二环菜户营桥东南角 ,四居(2),2018.03.15,"1,872-2,105万元/套",
昆仑域,待售,[丰台-丽泽]丰台西二环菜户营桥南800米,四居(1)，五居及以上(1),2018.03.15,售价待定,"95,000元/m²"
亿城燕西华府,在售,[丰台-王佐]丰台王佐镇青龙湖公园东1500米,三居(3)，四居(2)，五居及以上(3),2018.03.15,"1,500万元/套起",
天恒金融街公园懿府,在售,[丰台-西红门]丰台公益西桥南行3500...,二居(1)，三居(4),2018.02.27,"均价71,000元/m²",817-937万元
上海建筑,在售,[丰台-大红门]大红门西路16号，远洋自...,二居(1)，三居(1),2018.01.22,"均价85,000元/m²","1,241万元"
紫辰院,在售,[丰台-丽泽]丰台西四环中路112号,二居(1)，三居(3)，四居(1)，五居及以上(1),2018.01.26,"均价120,000元/m²","3,192-3,300万元"
泰禾西府大院,待售,[丰台-丽泽]西三环丽泽桥西北角，玉璞公...,,2018.02.01,售价待定,总价待定
首开璞瑅公馆,在售,[丰台-方庄]丰台 东二环左安门桥，龙潭...,四居(2),2018.01.26,"均价119,000元/m²","2,808-3,189万元"
泽信公馆,在售,[丰台-丰台科技园]丰台丰台桥南，看丹桥...,三居(3),2018.03.15,"均价76,000元/m²",940万元起
鲁能·钓鱼台美高梅别墅,在售,[丰台-大红门]榴乡路与石榴庄路交叉口向...,,2018.01.26,"6,000万元/套起",
金隅西山甲一号,待售,[丰台-园博园]长辛店生态城园博园南路路...,三居(1)，四居(4),2018.01.22,售价待定,总价待定
西宸原著,待售,[丰台-丽泽]丰台区西三环丽泽桥西北角,三居(3)，四居(2)，五居及以上(1),2017.12.18,售价待定,总价待定
首开万科翡翠四季,在售,[通州-次渠]通州东五环京津高速东石村桥...,二居(2)，三居(4)，四居(2),2018.03.12,售价待定,总价待定
K2十里春风,在售,[通州]通州区永乐经济开发区小甸屯村百莱...,二居(1)，三居(1),2018.03.15,"均价37,500元/m²",296-330万元
华业东方玫瑰,在售,[通州-梨园]通州八通线临河里站北侧40...,一居(1)，二居(9)，三居(4)，四居(1),2018.03.15,"均价70,000元/m²",688万元
首开万科城市之光,在售,[通州-次渠]通州东五环化工桥向京津高速...,开间(1),2018.03.15,"均价43,000元/m²",172万元
泰晤士印象,待售,[通州-西集]通州京哈高速（G1）朗府出...,二居(1)，三居(2),2018.03.02,售价待定,总价待定
首开缇香墅,在售,[通州-于家务]通州京津高速过台湖收费站...,一居(1)，二居(1)，三居(3)，四居(1)，五居及以上(1),2018.03.02,650-916万元/套,
首开香溪郡,在售,[通州-北通州]东北五环通顺路与窑管路交...,二居(1)，三居(3)，四居(2),2018.02.27,"均价45,000元/m²",405-473万元
润枫领尚,在售,[通州-亦庄]通州光机电产业基地核心区兴...,一居(2)，二居(1)，三居(2)，四居(2),2018.02.24,"均价54,000元/m²",837-945万元
台湖银河湾,在售,[通州-台湖]东五环化工桥京津高速2A出...,一居(1)，三居(1),2018.03.02,"均价69,800元/m²",388-579万元
合生滨江帝景,在售,[通州-梨园]项目位于通州东五环外，八通...,三居(2),2018.03.02,"均价75,000元/m²","743-1,028万元"
京洲世家,在售,[通州-梨园]梨园镇京洲南街与怡乐中路交汇处,二居(3)，三居(1),2018.03.02,"均价65,000元/m²",897万元
融创千章墅,在售,[通州-北通州]通州东北五环外温榆河墅区...,四居(1)，五居及以上(1),2018.03.02,"1,252-2,185万元/套",
泰禾中国院子,待售,[通州-运河核心区]通州通燕高速宋庄出口...,五居及以上(2),2018.02.24,总价待定,
8哩岛,在售,[通州-运河核心区]通州朝阳北路东端与温...,四居(2),2018.02.24,"均价50,000元/m²","1,310万元"
首开万科翡翠四季（别墅）,在售,[通州-次渠]通州东五环京津高速东石村桥...,三居(1)，四居(3),2018.01.22,"950-1,300万元/套",
阳光城·檀悦,在售,[顺义]北五环京承高速6出口（中央别墅区...,三居(2),2018.03.15,"均价62,300元/m²","630-1,500万元"
中海·国际城,待售,[顺义-顺义主城区]顺平路燕京桥M15号...,二居(3)，三居(4)，四居(2),2018.03.15,售价待定,总价待定
浅山香邑,在售,[顺义]顺义区张镇张各庄村 ,二居(2)，三居(4)，四居(1),2018.02.01,"最低27,000元/m²起",308-567万元
中铁花溪渡,在售,[顺义-潮白河别墅区]顺义新城白马路与通...,三居(6)，四居(2),2018.02.01,"均价50,000元/m²",752-981万元
恒华湖公馆,在售,[顺义-潮白河别墅区]顺义新城顺安路，乔...,二居(2)，三居(3)，四居(1),2018.02.07,"最低48,000元/m²起","435-1,250万元"
观承别墅,在售,[顺义-天竺] 顺义高丽营镇于庄机场北线...,,2017.10.27,总价待定,
春晖园随园,在售,[顺义-天竺]顺义中央别墅区高丽营于庄春...,二居(2)，三居(3),2017.12.18,"1,200万元/套起",
易郡,在售,[顺义-潮白河别墅区]顺义区李遂镇柳各庄...,四居(1)，开间(2),2018.01.26,"1,200万元/套起",
华润八号院,在售,[顺义-潮白河别墅区]顺义滨河路向阳村段...,四居(2)，五居及以上(1),2017.12.15,"1,932万元/套起",
新世界丽樽,在售,[顺义-天竺]高丽营镇于庄村 ,四居(1)，五居及以上(1),2018.01.26,"2,000万元/套起",
万通溪悦澜墅,在售,"[顺义-天竺]燕莎东北,机场高速杨林出口...",四居(2),2018.02.02,"2,142-2,397万元/套",
金地中央世家,在售,[顺义-天竺]顺义中央别墅区后沙峪罗马环...,五居及以上(2),2018.01.26,"5,000万元/套",
棕榈滩云湖别墅,在售,[顺义-天竺]顺义区温榆河畔(机场杨林路...,三居(1)，四居(2),2018.02.02,总价待定,
鲁能7號别墅,在售,[顺义-潮白河别墅区]顺义马坡镇顺恒大街...,四居(5),2018.01.26,"1,500万元/套起",
优山美地,在售,[顺义-天竺]顺义顺义区后沙峪镇裕园路西300米,四居(1)，五居及以上(3),2018.02.01,"3,000万元/套起",
中骏·西山天璟,在售,[门头沟]西山·永定楼北300米,三居(1)，四居(4),2018.03.15,"均价66,000元/m²","670-1,100万元"
西山燕庐,在售,[门头沟-大峪]门头沟永定镇长安街西延线...,三居(1)，四居(1),2018.03.15,"均价62,000元/m²","520-1,150万元"
翡翠长安,在售,[门头沟-大峪]门头沟西长安街沿线与六环...,三居(2)，四居(1),2018.03.14,"均价62,000元/m²","950-1,320万元"
丽景长安,在售,[门头沟-大峪]门头沟永定镇石龙西路与三...,三居(2)，四居(2),2018.03.15,"均价56,900元/m²",840万元起
华润西山墅,在售,[门头沟-西山别墅区]华润西山墅位于门头...,三居(1),2018.03.05,"均价55,000元/m²",622万元起
西山艺境,在售,[门头沟-大峪]双峪路口向西800米，黑...,三居(4)，四居(1),2018.01.31,"均价65,000元/m²","1,333-1,690万元"
西长安壹号,在售,[门头沟-大峪]北京市门头沟石龙北路与石...,,2018.02.07,"均价40,000元/m²",总价待定
西山御园,在售,[门头沟-大峪]门头沟阜石路双峪环岛北1000米,三居(1)，四居(2),2018.01.31,"均价63,000元/m²","1,216-1,380万元"
